file,sublevel,grid_size,n_states,win_prob,expected_steps
B-0,0,6,55,0.051081,7.35
B-0,1,6,63,0.053448,43.44
B-0,2,6,31,0.015273,8.16
B-0,3,6,54,0.000146,3.19
B-0,4,6,64,0.026347,24.62
B-0,5,6,53,0.012319,6.72
B-0,6,6,65,0.003772,17.13
B-0,7,6,47,0.065083,18.04
B-0,8,6,46,0.001262,3.65
B-0,9,6,29,0.020630,3.18
B-0,10,6,64,0.008380,12.94
B-0,11,6,87,0.039760,6.35
B-0,12,6,41,0.149459,76.80
B-0,13,6,40,0.084578,32.94
B-0,14,6,96,0.657499,127.65
B-0,15,6,42,0.184435,60.99
B-0,16,6,15,0.007595,6.46
B-0,17,6,35,0.250785,89.22
B-0,18,6,45,0.041892,7.45
B-0,19,6,64,0.005041,73.93
B-0,20,6,59,0.018249,5.77
B-0,21,6,69,0.000203,3.70
B-0,22,6,32,0.019768,14.62
B-0,23,6,127,0.000420,5.57
B-0,24,6,42,0.355399,44.71
B-0,25,6,40,0.375021,56.05
B-0,26,6,54,0.005086,5.74
B-0,27,6,104,0.000009,3.81
B-0,28,6,48,0.020547,12.55
B-0,29,6,76,0.127245,22.30
B-0,30,6,67,0.048110,19.31
B-0,31,6,70,0.135962,30.49
B-0,32,6,48,0.808073,88.43
B-0,33,6,69,0.010316,7.09
B-0,34,6,65,0.002092,4.00
B-0,35,6,51,0.005611,4.10
B-0,36,6,78,0.008183,4.26
B-0,37,6,33,0.048860,5.92
B-0,38,6,53,0.098888,22.03
B-0,39,6,41,0.002511,4.59
B-0,40,6,42,0.060261,15.30
B-0,41,6,43,0.005722,2.22
B-0,42,6,51,0.552815,37.08
B-0,43,6,40,0.253196,42.96
B-0,44,6,33,0.689885,88.37
B-0,45,6,56,0.005624,2.90
B-0,46,6,55,0.000227,8.77
B-0,47,6,64,0.228973,46.25
B-0,48,6,60,0.000827,3.57
B-0,49,6,82,0.005013,9.93
B-0,50,6,75,0.005980,2.27
B-0,51,6,40,0.012095,3.29
B-0,52,6,59,0.000352,4.91
B-0,53,6,87,0.006041,7.27
B-0,54,6,53,0.483871,205.74
B-0,55,6,55,0.001609,4.68
B-0,56,6,26,0.014783,4.19
B-0,57,6,33,0.014940,5.91
B-0,58,6,58,0.133134,126.91
B-0,59,6,34,0.251946,190.65
B-0,60,6,49,0.009760,8.52
B-0,61,6,66,0.074539,19.13
B-0,62,6,61,0.012073,4.45
B-0,63,6,62,0.009436,5.27
B-0,64,6,26,0.025853,6.75
